eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/critic1,loss/critic2,timestep
98.3,0.45825756949558394,7.417410902754183,0.6531009932341594,-2.1035038738250735,4.246037839889524,4.399154246330262,16750
92.0,0.6324555320336759,7.205509747444533,0.6692516296935475,-2.1011481552124,4.341836709976196,4.512836095333101,17000
91.3,0.6403124237432849,7.13461197020659,0.6706116510005099,-2.0995696716308605,4.740834539413458,4.940579480648041,17250
97.7,0.45825756949558394,7.254475748640973,0.654077860508976,-2.1001646175384523,4.650672133445743,4.851260958194732,17500
94.8,0.7483314773547882,7.224488240772222,0.6714193540071547,-2.10757245063782,4.521827092647553,4.629213700294496,17750
83.4,0.8,6.400653266433746,0.6785743055390654,-2.101740655899046,4.957424512386319,5.191759008884426,18000
91.1,0.5385164807134505,7.127537842757644,0.6641776311425138,-2.1051642456054673,5.109509900093079,5.293220467567445,18250
94.2,0.4,7.174722170927361,0.6513844746548518,-2.106207704544069,5.557064755439758,5.792573513031009,18500
91.1,0.5385164807134505,7.110409798037639,0.6609129853548134,-2.10300005722046,5.366094861984254,5.5313886699676535,18750
95.3,0.45825756949558405,7.231100789040752,0.6617545939801054,-2.104111738204959,5.360991202831272,5.55905857419968,19000
92.3,0.45825756949558394,7.200635621607039,0.657205437247334,-2.1036578598022446,5.439963788986201,5.705460796833039,19250
91.4,0.66332495807108,7.189859766186219,0.6713874188326214,-2.1068594303131127,5.17742109775543,5.454076037406923,19500
92.3,0.45825756949558394,7.132233840269193,0.6537894822551444,-2.104860399246217,5.756951417446143,5.961056969165801,19750
95.6,0.6633249580710799,7.315448428560499,0.6630800110597371,-2.106020828247069,5.730063795089727,5.897364605903626,20000
94.3,0.6403124237432849,7.256790817480013,0.6612781278534026,-2.1048885459899904,6.252430664062504,6.390459751605983,20250
94.2,0.6,7.26194557587244,0.6612252747649666,-2.104179477691653,6.2398671255111715,6.486435861587518,20500
96.1,0.5385164807134505,7.386648819054507,0.6536622995467158,-2.10717795753479,6.240108409881599,6.442699470520013,20750
94.3,0.45825756949558394,7.2516554624298495,0.6566704708285304,-2.1031806411743177,6.478553509712219,6.619065244674684,21000
92.7,0.6403124237432849,7.135719502149801,0.6662883763006482,-2.106069025039673,6.949013127326963,7.143140533447273,21250
94.9,0.5385164807134505,7.2781381680314965,0.665969044579601,-2.1044581336975106,6.661893644332887,6.864744365692142,21500
92.4,0.8,7.162512287222208,0.6748541137549824,-2.106033277511594,6.318957196235649,6.524437631607053,21750
93.6,0.66332495807108,7.094440340122314,0.6660454378221136,-2.106276622772218,7.4968231229782045,7.768269431114196,22000
95.6,0.4898979485566356,7.323915536252273,0.6593068047885033,-2.105213404655452,7.176209798812864,7.359291829109191,22250
93.7,0.45825756949558405,7.235708219354553,0.6612389472384452,-2.105386111259462,7.21396857261658,7.389629230499264,22500
92.8,0.4,7.141723443428385,0.6490298590540677,-2.1075268411636334,7.579193823337555,7.7734033775329605,22750
92.7,0.45825756949558394,7.188121588296129,0.6568737778141928,-2.1090527696609476,7.546417046546941,7.670632619857789,23000
92.3,0.6403124237432849,7.176019539811758,0.6684935894561739,-2.1076136827468894,7.591824999809258,7.751630060195917,23250
104.7,0.6403124237432849,7.528557842144232,0.6653128935693312,-2.106028185844422,7.903041334152214,8.221583635330209,23500
93.2,0.7483314773547882,7.182031011482129,0.6683903330157227,-2.10608807277679,7.602016283035277,7.836617414474496,23750
97.0,0.6324555320336759,7.311207646820848,0.6657827295297651,-2.106315856933591,7.862767427444458,8.10241509437562,24000
93.9,0.7000000000000001,7.161992740286598,0.6711505276743448,-2.109886034011841,7.763730781555175,8.11867684173585,24250
92.7,0.6403124237432849,7.226861388609366,0.6692174584960005,-2.1103502864837624,7.82986325263977,8.091013713836666,24500
92.6,0.4898979485566356,7.214375051091867,0.6640291956791838,-2.1086115942001338,8.564942964553833,8.818680052757268,24750
93.0,0.6324555320336759,7.241669385472892,0.6668703177738381,-2.110313187599183,7.969351563453672,8.327784728050235,25000
93.1,0.7000000000000001,7.227378604676457,0.6722226585591082,-2.1087065668106106,8.251613472938542,8.436340753555298,25250
95.7,0.45825756949558394,7.304381439716262,0.662784390722749,-2.10972411632538,9.114469879150395,9.348738562583927,25500
92.3,0.6403124237432849,7.09946856092538,0.6687355046249773,-2.1064064388275168,9.113517606735225,9.519135689735426,25750
81.3,0.6403124237432849,6.136403423130747,0.6631477541084225,-2.1081595001220674,8.438544681549082,8.837675614356995,26000
94.7,0.6403124237432849,7.285669867133531,0.6680228471746509,-2.1084125308990442,8.914237356185923,9.207539312362679,26250
